Problem,Male,Dependent_count,college_or_above,Married,Less_than_$40K,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Customer_Age_0-43,Customer_Age_43-50,Customer_Age_50-68
0,1,3,1,1,0,36.0,4,2.5,2.5,3418.0,107.5,3418.0,0.85,1887.0,35.0,0.7907500000000001,0.0,0,1,0
1,0,0,1,1,1,40.5,2,3.0,3.0,1438.3,107.5,1438.3,0.85,1378.875,35.0,0.6,0.0,0,0,1
0,1,3,0,1,0,33.0,4,2.5,2.5,4470.0,680.0,3790.0,0.85,1378.875,35.0,0.7907500000000001,0.152,0,1,0
0,0,4,0,1,1,36.0,2,3.0,3.0,8920.125,107.5,7947.35,0.85,1378.875,35.0,0.7907500000000001,0.0,0,1,0
1,0,0,1,1,1,40.5,5,3.5,3.0,7882.0,605.0,7277.0,0.85,1378.875,35.0,0.49724999999999997,0.077,0,0,1
0,1,2,0,1,0,40.5,4,2.5,2.5,6205.0,1783.5,4001.0,0.803,1378.875,35.0,0.556,0.29337500000000005,0,1,0
1,0,1,1,1,1,40.0,2,3.0,2.5,1438.3,808.0,630.3,0.85,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
0,1,2,0,1,0,36.0,4,2.5,2.5,8920.125,1783.5,7947.35,0.664,1414.0,35.0,0.49724999999999997,0.127,0,1,0
1,1,2,1,1,0,36.0,1,3.0,3.0,8920.125,107.5,7947.35,0.85,1378.875,35.0,0.49724999999999997,0.0,0,0,1
0,0,5,1,1,1,35.0,4,2.5,2.5,6273.0,978.0,5295.0,0.85,1378.875,35.0,0.7907500000000001,0.156,0,1,0
1,1,2,1,1,0,35.0,2,3.5,3.5,8920.125,107.5,7947.35,0.763,1378.875,35.0,0.5,0.0,0,1,0
0,0,2,0,0,1,31.5,6,3.0,3.0,2084.0,1468.0,616.0,0.85,1378.875,35.0,0.556,0.29337500000000005,0,1,0
0,1,2,1,1,0,38.0,6,2.5,2.5,8920.125,1330.0,7947.35,0.85,1378.875,35.0,0.7907500000000001,0.053,0,1,0
0,1,2,1,1,0,38.0,6,3.0,2.5,8920.125,1783.5,7947.35,0.85,1378.875,35.0,0.49724999999999997,0.066,0,1,0
0,1,3,1,1,0,37.0,4,3.5,2.5,8567.0,1695.0,6872.0,0.85,1457.0,41.0,0.7907500000000001,0.198,0,1,0
1,0,4,0,1,0,40.5,2,3.5,3.0,2158.0,107.5,2158.0,0.594,1378.875,35.0,0.714,0.0,0,0,1
0,1,2,0,0,0,35.0,4,2.5,2.5,8920.125,1783.5,7947.35,0.607,1378.875,35.0,0.722,0.108,0,1,0
0,1,3,0,0,0,31.5,4,3.0,2.5,8920.125,837.0,7947.35,0.85,1413.0,35.0,0.7907500000000001,0.066,0,1,0
0,1,0,1,0,0,40.5,5,3.5,2.5,2664.0,1783.5,627.0,0.85,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
1,1,2,0,1,0,37.0,2,3.0,3.0,5449.0,1628.0,3821.0,0.696,1378.875,35.0,0.49724999999999997,0.29337500000000005,0,1,0
0,0,2,1,0,1,32.0,3,3.0,3.0,3031.0,1783.5,1152.0,0.788,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
0,1,3,0,0,0,31.5,3,3.0,2.5,1862.0,107.5,1862.0,0.85,1378.875,35.0,0.789,0.0,0,1,0
0,0,4,1,1,1,33.0,2,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.111,0,1,0
0,0,1,0,1,1,40.5,6,2.5,2.5,1438.3,107.5,1438.3,0.813,1951.0,44.0,0.7907500000000001,0.0,0,0,1
1,1,2,1,1,0,40.5,3,3.0,2.5,8920.125,1783.5,7947.35,0.622,1378.875,35.0,0.49724999999999997,0.191,0,1,0
0,1,4,0,1,0,39.0,5,2.5,2.5,6111.0,1783.5,3594.0,0.632,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
0,0,1,1,1,1,36.0,6,2.5,3.0,3967.0,1568.0,2399.0,0.85,1657.0,35.0,0.7907500000000001,0.29337500000000005,0,0,1
1,0,5,0,1,1,38.0,1,3.0,3.0,8025.0,107.5,7947.35,0.654,1378.875,35.0,0.7907500000000001,0.0,0,1,0
0,1,1,0,0,0,40.5,6,2.5,3.0,8920.125,1783.5,6709.0,0.649,1378.875,35.0,0.636,0.258,0,1,0
1,1,1,1,0,0,40.5,2,3.0,3.0,8920.125,107.5,7947.35,0.71,1378.875,35.0,0.7907500000000001,0.0,0,0,1
1,0,4,0,1,1,38.0,3,2.5,3.0,2732.0,107.5,2732.0,0.76,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,0,4,1,1,1,36.0,4,2.5,3.0,5349.0,1228.0,4121.0,0.728,1378.875,35.0,0.7907500000000001,0.23,0,1,0
0,1,2,0,1,0,31.5,4,2.5,3.0,8920.125,1104.0,7947.35,0.594,1378.875,39.0,0.625,0.118,0,1,0
0,0,1,1,1,1,40.5,4,2.5,3.0,2154.0,930.0,1224.0,0.85,1439.0,35.0,0.7907500000000001,0.29337500000000005,0,1,0
0,1,1,1,1,0,38.0,6,2.5,3.0,8920.125,618.0,7947.35,0.594,1378.875,35.0,0.7907500000000001,0.066,0,1,0
0,0,4,1,0,1,34.0,2,3.0,2.5,3195.0,1783.5,1241.0,0.85,1378.875,35.0,0.706,0.29337500000000005,0,1,0
0,0,4,0,1,0,40.0,5,2.5,3.0,3065.0,1570.0,1495.0,0.85,1378.875,35.0,0.7907500000000001,0.29337500000000005,0,1,0
1,1,5,1,0,0,33.0,6,3.0,3.0,8920.125,1783.5,7947.35,0.658,1378.875,35.0,0.7,0.076,0,1,0
0,0,4,0,0,1,36.0,4,3.0,3.0,8920.125,1719.0,7947.35,0.85,1592.0,37.0,0.7907500000000001,0.108,0,1,0
1,1,2,0,1,0,36.0,2,2.5,2.5,3212.0,107.5,3212.0,0.713,1378.875,35.0,0.49724999999999997,0.0,0,1,0
0,0,1,0,1,0,36.0,4,2.5,3.0,3356.0,985.0,2371.0,0.594,1378.875,35.0,0.556,0.29337500000000005,0,0,1
0,1,3,1,0,0,33.0,3,2.5,2.5,6278.0,462.0,5816.0,0.85,1378.875,35.0,0.7907500000000001,0.074,0,1,0
0,0,3,1,1,1,40.5,4,2.5,3.0,6347.0,1594.0,4753.0,0.85,1771.0,37.0,0.762,0.251,0,0,1
0,0,5,1,1,1,40.5,5,2.5,2.5,3449.0,1598.0,1851.0,0.85,1679.0,42.0,0.556,0.29337500000000005,0,1,0
0,0,5,1,1,1,40.5,5,2.5,2.5,3449.0,1598.0,1851.0,0.85,1679.0,42.0,0.556,0.29337500000000005,0,1,0
0,1,0,0,0,0,36.0,3,2.5,3.0,8920.125,1783.5,7947.35,0.829,1378.875,35.0,0.7907500000000001,0.11,0,1,0
1,1,0,0,1,1,40.5,1,3.0,2.5,1438.3,900.0,538.3,0.743,1378.875,35.0,0.615,0.29337500000000005,0,0,1
0,1,2,1,1,0,32.0,4,2.5,2.5,8920.125,1468.0,7947.35,0.594,1378.875,35.0,0.684,0.043,0,1,0
0,0,1,0,0,1,35.0,3,2.5,2.5,8920.125,1580.0,7947.35,0.594,1378.875,35.0,0.7907500000000001,0.15,0,1,0
1,0,2,1,1,1,40.5,2,3.5,3.0,1438.3,107.5,1438.3,0.707,1378.875,35.0,0.49724999999999997,0.0,0,0,1
1,1,2,1,1,0,40.5,3,3.0,3.0,1438.3,107.5,1438.3,0.688,1378.875,35.0,0.5,0.0,0,0,1
0,1,3,1,1,0,40.5,5,3.0,3.0,8920.125,1783.5,7947.35,0.85,1523.0,40.0,0.7907500000000001,0.199,0,1,0
0,0,3,0,0,1,38.0,4,2.5,3.0,8920.125,1783.5,7947.35,0.85,1546.0,35.0,0.7907500000000001,0.165,0,1,0
0,0,2,0,0,1,34.0,6,3.5,2.5,8920.125,1783.5,7947.35,0.85,1658.0,38.0,0.49724999999999997,0.16,0,1,0
1,0,1,0,1,0,40.5,4,3.5,3.0,1438.3,1025.0,413.3,0.838,1378.875,35.0,0.714,0.29337500000000005,0,0,1
1,1,1,0,1,0,36.0,2,3.0,3.0,1857.0,1783.5,24.0,0.723,1378.875,35.0,0.7,0.29337500000000005,0,1,0
1,0,2,0,1,1,33.0,2,3.0,3.0,2859.0,1783.5,342.0,0.85,1378.875,35.0,0.667,0.29337500000000005,0,1,0
0,1,2,0,0,0,36.0,4,2.5,2.5,5269.0,1475.0,3794.0,0.85,2094.0,35.0,0.667,0.28,1,0,0
1,1,5,1,1,0,40.5,2,2.5,3.0,1438.3,107.5,1438.3,0.734,1378.875,35.0,0.615,0.0,0,1,0
1,0,2,1,1,1,36.0,1,3.0,2.5,3387.0,107.5,3387.0,0.789,1378.875,35.0,0.6,0.0,0,1,0
1,1,4,0,1,0,31.5,3,3.0,3.0,2442.0,107.5,2442.0,0.85,1378.875,35.0,0.727,0.0,0,1,0
1,1,0,0,0,0,40.5,2,3.5,3.0,3616.0,1054.0,2562.0,0.616,1378.875,35.0,0.545,0.291,0,0,1
